,Name,College,Quality Score,Difficulty Score,GPA,Would Take Again,Number of Ratings,Number of Sections,Total Students
0,Mary Lanier,College of Education,5.0,1.0,3.7744067796610166,100.0,2,9,177
1,Joy Morgan,College of Agriculture and Life Sciences,4.2,2.0,3.5184065934065933,100.0,3,58,1092
2,Wendy Warner,College of Agriculture and Life Sciences,4.0,2.8,3.3882833333333338,66.6667,4,57,1200
3,Charlotte  Farin,College of Agriculture and Life Sciences,2.8,4.5,3.0838295165394403,33.3333,4,38,1572
4,Barbara Kirby,College of Agriculture and Life Sciences,3.3,1.4,3.4244305772230894,100.0,9,24,1282
5,Joseph Donaldson,College of Agriculture and Life Sciences,5.0,2.0,3.8076744186046514,100.0,3,11,172
6,Mark Kistler,College of Agriculture and Life Sciences,4.5,3.5,3.1555016181229774,-1.0,2,19,309
7,Katherine McKee,College of Agriculture and Life Sciences,2.8,2.5,3.031333982473222,50.0,4,46,1027
8,Jackie Bruce,College of Agriculture and Life Sciences,2.4,4.0,3.088535714285715,25.0,16,84,1960
9,Barry Croom,College of Agriculture and Life Sciences,4.6,2.3,3.6439513677811552,-1.0,4,17,329
10,Misty Lambert,College of Agriculture and Life Sciences,1.0,2.0,3.4252682926829268,0.0,1,13,205
11,David Jones,College of Agriculture and Life Sciences,4.8,1.7,3.59006993006993,-1.0,6,61,1573
12,Gary Roberson,College of Engineering,4.0,1.0,2.878809604328712,100.0,1,83,2957
13,Andy Hale,College of Engineering,4.4,2.4,2.958819561551434,100.0,5,85,3558
14,Rodney Huffman,College of Engineering,3.0,3.5,2.8223187066974598,-1.0,6,71,2165
15,Helen Kraus,College of Agriculture and Life Sciences,5.0,2.1,2.999525773195876,100.0,12,103,2910
16,Karl Jicha,College of Humanities and Social Sciences,3.8,2.6,2.8275697605382923,78.5714,22,184,5053
17,Lynn Worley-Davis,College of Agriculture and Life Sciences,4.9,1.8,3.5767201068804266,100.0,16,131,2994
18,John Russ,Poole College of Management,4.4,1.0,2.6274343339587243,66.6667,5,139,4264
19,Melissa Hendrickson,College of Agriculture and Life Sciences,4.0,2.2,2.8461072530864207,66.6667,17,146,5184
20,Gary Gregory,College of Agriculture and Life Sciences,5.0,1.5,3.232943603851444,100.0,2,45,1454
21,Herman Sampson,College of Humanities and Social Sciences,4.4,2.3,2.1686714975845405,-1.0,15,53,1656
22,Lee Ivy,College of Agriculture and Life Sciences,4.8,1.5,2.9717413185707096,100.0,4,58,1987
23,Jonathan Phillips,College of Humanities and Social Sciences,4.1,3.0,2.2797799203521265,68.75,28,123,4771
24,Kelly Zering,Poole College of Management,1.0,3.0,3.6489728096676735,0.0,1,13,331
25,Patricia Buddin,College of Agriculture and Life Sciences,4.0,1.3,3.727435952637244,66.6667,29,65,4645
